poiCity, poiName, poiId, olon, olat, lon, lat, url, poiUrl, poiSource, poiComment, poiPrice, poiAddress
宝鸡,安旗烘焙（虢镇店）,152306333,107.385023,34.353497,107.3800527,34.3547457,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/152306333/,3,4条评论,人均￥45,陈仓区西大街城建局对面（中街灯具厂楼下）
宝鸡,700cc都市茶饮（陈仓店）,158873863,107.376786,34.352462,107.3718293,34.3537199,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/158873863/,5,194条评论,人均￥12,陈仓区陈仓区陈仓步行街
宝鸡,麦香园蛋糕房,41065045,107.386324,34.352818,107.3813519,34.3540659,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/41065045/,4.4,1091条评论,人均￥10,陈仓区虢镇西大街39号（中国银行西70米）
宝鸡,唯美西点澳门葡挞,6704037,107.388032,34.353075,107.3830575,34.3543213,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/6704037/,4.4,226条评论,人均￥19,陈仓区虢镇街道东大街284号
宝鸡,优客,41343209,107.377323,34.353383,107.3723653,34.3546398,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/41343209/,4.7,47条评论,人均￥9,陈仓区虢镇步行街北口3号
宝鸡,简爱私房烘焙工作室,175491299,107.390911,34.352419,107.385933,34.3536635,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/175491299/,5,41条评论,人均 -,陈仓区陈仓区东大街
宝鸡,三利西饼,5811874,107.37841,34.35394,107.3734503,34.3551952,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/5811874/,4.9,143条评论,人均￥10,陈仓区西大街220号
宝鸡,付记蛋糕店,85936969,107.395514,34.352378,107.390531,34.3536198,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/85936969/,5,34条评论,人均￥20,陈仓区东大街15号
宝鸡,红玫瑰蛋糕房,5674091,107.38652,34.353039,107.3815476,34.3542866,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/5674091/,4.6,302条评论,人均￥10,陈仓区西大街24号
宝鸡,Pink House 主题饮品店,185315008,107.386701,34.353432,107.3817283,34.3546792,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/185315008/,3.5,2条评论,人均￥16,陈仓区东大街金谷广场步行街88号
宝鸡,妙味蛋糕,164556430,107.39004,34.35117,107.3850631,34.3524158,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/164556430/,4.3,11条评论,人均 -,陈仓区虢镇金水巷
宝鸡,恩典艺术蛋糕,5052494,107.3739,34.35407,107.3689486,34.3553306,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/5052494/,3.8,54条评论,人均￥13,陈仓区虢镇西大街陈仓医院对面（，陈仓汽车站斜对面，建材市场西侧）
宝鸡,爱麦儿（行政中心店）,75416120,107.241299,34.361904,107.2366065,34.3633224,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/75416120/,4.8,69条评论,人均 -,陈仓区行政东路三迪新城底商
宝鸡,碰碰凉（阳光店）,41710345,107.382604,34.353568,107.3776374,34.354818,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/41710345/,3.5,1272条评论,人均￥17,陈仓区虢镇阳光广场1层和2层
宝鸡,唯味西饼,41938135,107.37963,34.353562,107.3746682,34.354816,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/41938135/,4.3,1029条评论,人均￥9,陈仓区虢镇西大街167号（西班牙小区楼下）
宝鸡,南极王子茶饮（阳光店）,165162161,107.382811,34.353549,107.377844,34.354799,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/165162161/,4.7,18条评论,人均￥6,陈仓区西大街阳光广场家家鑫书城108号
宝鸡,我家酸牛奶,179718387,107.385066,34.354765,107.3800955,34.356013,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/179718387/,3.5,2条评论,人均￥7,陈仓区虢镇人民街46号
宝鸡,青青小屋,159980219,107.386907,34.353069,107.3819341,34.3543162,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/159980219/,3.9,45条评论,人均￥13,陈仓区虢镇金谷广场四楼
宝鸡,三木烘焙（三迪店）,165748217,107.240891,34.360991,107.2361986,34.3624097,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/165748217/,3.5,1条评论,人均￥45,陈仓区行政东路
宝鸡,麦香烘焙,166212260,107.358249,34.36189,107.3533312,34.3631698,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/166212260/,3.8,11条评论,人均 -,陈仓区永丰花园南门
宝鸡,蜜思烘焙（虢镇店）,114995746,107.377148,34.352806,107.3721906,34.3540633,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/114995746/,3.5,2条评论,人均 -,陈仓区陈仓步行街08号
宝鸡,涂涂山楂园（千渭店）,101498265,107.333362,34.358648,107.32851,34.3599749,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/101498265/,3,1条评论,人均￥15,陈仓区陈仓大道北千渭星城D区门口向北20米
宝鸡,美味蛋糕西饼店,190634837,107.242846,34.361072,107.2381535,34.3624916,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/190634837/,暂无评,0条评论,人均￥40,陈仓区行政大道
宝鸡,甜蜜蛋糕坊,157829277,106.775291,34.529499,106.7709483,34.5308326,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/157829277/,暂无评,1条评论,人均 -,陈仓区香泉镇香泉中学斜对面（香泉邮局旁边）
宝鸡,乐芙蛋糕（时尚蛋糕店）,73676441,107.382002,34.3537,107.3770363,34.3549515,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/73676441/,暂无评,0条评论,人均 -,陈仓区西大街49号
宝鸡,wuil灿,163389964,107.38691,34.35305,107.381937,34.3542973,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/163389964/,暂无评,2条评论,人均￥15,陈仓区虢镇西大街8号（金谷广场3楼）
宝鸡,千味西点,50407342,107.329796,34.358998,107.3249538,34.3603316,http://baoji.meituan.com/meishi/c11b4302/,http://www.meituan.com/meishi/50407342/,3,2条评论,人均 -,陈仓区虢镇千渭星城D区门口向北30米
宝鸡,启达西饼生日蛋糕（宝-鸡1店）,182450344,107.132379,34.349094,107.1275619,34.3503572,http://baoji.meituan.com/meishi/c11b4300/,http://www.meituan.com/meishi/182450344/,4,43条评论,人均 -,渭滨区清姜东二路市场（王佳怡商行旁）
宝鸡,艾英伦手感烘焙（经二路店）,4282853,107.145719,34.371706,107.1409123,34.3729754,http://baoji.meituan.com/meishi/c11b4300/,http://www.meituan.com/meishi/4282853/,4.3,3291条评论,人均￥21,渭滨区经二路与汉中路十字东方国际一楼（银座东侧）
宝鸡,麦利佳蛋糕（红旗路店）,3261737,107.140624,34.37134,107.135812,34.3726022,http://baoji.meituan.com/meishi/c11b4300/,http://www.meituan.com/meishi/3261737/,3.8,588条评论,人均 -,渭滨区红旗路3号
