poiCity, poiName, poiId, olon, olat, lon, lat, url, poiUrl, poiSource, poiComment, poiPrice, poiAddress
商洛,一只酸奶牛（大都汇店）,175509308,109.937833,33.865894,109.9328583,33.8675825,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/175509308/,5,250条评论,人均￥12,商州区大都汇购物中心五楼电梯口
商洛,金伯爵蛋糕,6257433,109.945188,33.861812,109.9402003,33.8634901,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/6257433/,5,1647条评论,人均 -,商州区东环路中段（区检察院对面）
商洛,馨语蛋糕屋,50479703,109.931385,33.869369,109.9264194,33.8710648,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/50479703/,5,725条评论,人均 -,商州区文卫路北段附小转盘北侧
商洛,百思味特烘培工坊（北新街店）,5681255,109.94146,33.86789,109.9364789,33.8695728,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/5681255/,4.6,627条评论,人均￥30,商州区城关街道北新街中段89号
商洛,瑞可爷爷的店（州城路店）,96455434,109.929653,33.867619,109.9246897,33.869317,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/96455434/,4.8,204条评论,人均￥29,商州区州城路与文卫路西南角（袁记肉夹馍）
商洛,美高烘焙蛋糕屋,50578683,109.93144,33.869,109.9264743,33.8706958,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/50578683/,5,379条评论,人均￥14,商州区文卫路与西关交叉口（附小西隔壁）
商洛,86度C面包坊,94875813,109.943688,33.867048,109.9387028,33.8687274,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/94875813/,5,117条评论,人均￥1,商州区北新街天信商贸购物中心西南角
商洛,大美指蛋糕,4484117,109.928209,33.863537,109.9232477,33.8652374,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/4484117/,4.6,832条评论,人均 -,商州区文卫路南段桂圆新村东门口
商洛,大唐小姐茶饮,169094111,109.938944,33.865307,109.9339675,33.8669941,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/169094111/,4.4,27条评论,人均￥14,商州区西街商业步行街
商洛,安旗（名人街店）,5710284,109.93019,33.86433,109.9252263,33.8660282,http://sl.meituan.com/meishi/c11b4345/,http://www.meituan.com/meishi/5710284/,3.8,4172条评论,人均￥18,商州区名人街邮政超市旁
