poiCity, poiName, poiId, olon, olat, lon, lat, url, poiUrl, poiSource, poiComment, poiPrice, poiAddress
铜川,倾听雨落西饼店,4147737,108.94293,34.907467,108.9382319,34.9085509,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/4147737/,5,1434条评论,人均￥20,耀州区金谟商铺14号楼
铜川,艺华蛋糕屋,41742622,108.949213,34.901238,108.9444982,34.9023179,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/41742622/,5,450条评论,人均￥10,耀州区铁诺南路长丰市场西南门（蓝月亮网吧北侧巷子内进20米）
铜川,Cake王爵烘焙工坊,111868547,108.978569,34.916984,108.9737505,34.9179779,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/111868547/,5,320条评论,人均￥1,耀州区步寿路与药王路交叉口向北80米路东（锦都电器，鑫华洗浴旁边）
铜川,上岛咖啡（新区店）,5074893,108.947864,34.895811,108.9431535,34.8968992,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/5074893/,3.4,2403条评论,人均￥35,耀州区正阳路阳光大厦2楼
铜川,安旗西点,6674702,108.949919,34.896188,108.9452025,34.897272,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/6674702/,4,4238条评论,人均￥19,耀州区长虹南路新时代广场
铜川,红利来蛋糕房,52885761,108.98189,34.91593,108.9770582,34.9169158,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/52885761/,5,37条评论,人均￥2,耀州区药王路与铁牛路交叉口旁（菜市场东门）
铜川,克拉芭瑞（新区店）,4295599,108.945645,34.903829,108.94094,34.9049124,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/4295599/,4.2,1051条评论,人均 -,耀州区新区华原东道龙凤城B座第九街区（品味成都隔壁）
铜川,遇见维纳斯,163293701,108.957204,34.897661,108.9524649,34.8987288,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/163293701/,3.5,0条评论,人均￥20,耀州区新区天籁小区9号楼10104号
铜川,米旗蛋糕（大耀城店）,158877025,108.948328,34.896986,108.9436161,34.8980721,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/158877025/,3.5,131条评论,人均￥34,耀州区正阳路与长虹南路交汇处大耀城一层
铜川,南泉雪花糖（北大街）,42880166,108.979416,34.9149,108.9745943,34.9158938,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/42880166/,4.6,30条评论,人均 -,耀州区永安北路华原商城一楼门面（鼎尚超市斜对面）
铜川,天天纯净水,42969594,108.971671,34.916933,108.9668793,34.9179453,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/42969594/,3.4,119条评论,人均￥10,耀州区耀州路北段42号
铜川,唛子私人订制高端蛋糕,93710157,108.979319,34.912361,108.9744979,34.9133579,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/93710157/,5,129条评论,人均￥8,耀州区学古路文庙街口
铜川,瑶瑶冰淇淋（新时代广场店）,4464592,108.949686,34.896511,108.9449702,34.8975951,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/4464592/,4.3,1210条评论,人均￥7,耀州区新区长虹南路新时代广场心连心超市出口（近绝味）
铜川,香飘飘蛋糕房,41420209,108.950708,34.902017,108.9459887,34.9030932,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/41420209/,3.8,248条评论,人均￥15,耀州区新区长丰市场
铜川,四季鲜奶站,50177531,108.973808,34.910841,108.9690086,34.9118544,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/50177531/,4,5条评论,人均￥5,耀州区耀州路北街小学路口南路东
铜川,欧风麦甜,164059350,108.946509,34.903376,108.9418016,34.9044584,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/164059350/,3,11条评论,人均￥10,耀州区铁诺南路华阳小区临街商铺
铜川,澳泽烘焙,150352262,108.946986,34.888723,108.9422785,34.8898205,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/150352262/,4,13条评论,人均 -,耀州区新区鸿基路鸿基市场4号（新区医院东20米）
铜川,咪旗蛋糕房,40034044,108.98012,34.912327,108.9752957,34.9133217,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/40034044/,3.8,109条评论,人均 -,耀州区永安北路怀新巷口华莱士隔壁
铜川,夏诺西餐厅,164472206,108.980646,34.907899,108.9758199,34.9088971,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/164472206/,3.5,2条评论,人均￥35,耀州区文营东路1号耀州中央广场1层
铜川,米娅蛋糕DIY,6576177,108.949519,34.902152,108.9448032,34.9032303,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/6576177/,暂无评,0条评论,人均￥10,耀州区金鼎路长丰市场北门
铜川,彭氏脆皮蛋糕（新区店）,64165774,108.941176,34.916704,108.9364816,34.9177806,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/64165774/,4.2,13条评论,人均￥8,耀州区新区裕丰园北门市场门面房
铜川,体育场大平糖坊,41138562,108.976688,34.911606,108.9718774,34.9126109,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/41138562/,3,0条评论,人均￥20,耀州区体育场渠岸巷32号（耀州中学对面）
铜川,汪式蜜蜂园,90908026,108.951192,34.902176,108.9464713,34.9032511,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/90908026/,暂无评,0条评论,人均￥33,耀州区长丰市场东门B座7号
铜川,味之轩蛋糕,170006500,108.950225,34.901557,108.9455072,34.9026346,http://tc.meituan.com/meishi/c11b4271/,http://www.meituan.com/meishi/170006500/,暂无评,0条评论,人均￥5,耀州区新区金鼎路（长丰市场北门巷内）
铜川,上岛咖啡利群店（利群店）,42019362,109.073314,35.07057,109.0681239,35.0711503,http://tc.meituan.com/meishi/c11b4272/,http://www.meituan.com/meishi/42019362/,4.5,702条评论,人均￥43,王益区育才路利群新城小区4号楼三层
铜川,天香蛋糕,6000552,109.074478,35.0691,109.0692854,35.0696804,http://tc.meituan.com/meishi/c11b4272/,http://www.meituan.com/meishi/6000552/,5,392条评论,人均￥23,王益区文化宫斜对面新建巷内100米新风正对面（6路站牌旁边）
铜川,PuFF boX现烤泡芙,165954606,109.07715,35.069519,109.0719516,35.0700956,http://tc.meituan.com/meishi/c11b4272/,http://www.meituan.com/meishi/165954606/,4.6,142条评论,人均￥10,王益区正大步行街口左手边
铜川,安旗西点（华瑞万家店）,6747887,109.06997,35.064191,109.0647884,35.064783,http://tc.meituan.com/meishi/c11b4272/,http://www.meituan.com/meishi/6747887/,4,4256条评论,人均￥19,王益区红旗街9洲国际大厦华润万家1楼
铜川,亿枝多蛋糕,40914111,109.098251,35.0819,109.0930194,35.082448,http://tc.meituan.com/meishi/c11b4272/,http://www.meituan.com/meishi/40914111/,5,187条评论,人均 -,王益区河滨路铜华小区13号楼1号门面房
