poiCity, poiName, poiId, olon, olat, lon, lat, url, poiUrl, poiSource, poiComment, poiPrice, poiAddress
榆林,味美客（红山路店）,6915063,109.74886,38.308666,109.7432685,38.3081456,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/6915063/,3.7,596条评论,人均￥23,榆阳区红山东路天天购物广场隔壁
榆林,好利来（新建北路店）,2289365,109.751101,38.293001,109.7455103,38.2924791,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/2289365/,4.7,747条评论,人均￥26,榆阳区新建北路37号（世纪广场北侧）
榆林,街尚蛋糕,5850627,109.752027,38.261987,109.7464393,38.2614622,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5850627/,4.7,1411条评论,人均￥18,榆阳区富康路与友谊路十字向北100米（京城假日酒店楼下）
榆林,小黑黑蛋糕,187942004,109.7614,38.304537,109.7558076,38.3040159,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/187942004/,5,34条评论,人均￥20,榆阳区望湖东路与银沙路交叉口向南150米
榆林,米斯瑞可,165288800,109.746867,38.243915,109.7412832,38.2433896,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/165288800/,5,61条评论,人均 -,榆阳区怀远·曼哈顿特区东门
榆林,面包心语蛋糕店,40824337,109.77083,38.26364,109.765246,38.2631191,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/40824337/,4.8,479条评论,人均￥29,榆阳区众康医院北测夏洲路7号（猪场瓦）广济堂斜对面（榆阳文广楼底）
榆林,洛可可蛋糕坊（榆 林柳营东路店）,190520041,109.733775,38.281737,109.7281978,38.2812231,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/190520041/,4.3,14条评论,人均￥50,榆阳区柳营东路一条街28号
榆林,阿亮甜品（榆星店）,152580126,109.730393,38.286887,109.7248193,38.2863765,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/152580126/,5,42条评论,人均￥40,榆阳区文化南路与保宁路十字路口东南角榆星广场4楼
榆林,一品轩（巨丰智慧城店）,71055629,109.748918,38.230301,109.7433347,38.2297733,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/71055629/,4.7,91条评论,人均￥18,榆阳区高新区兴达路巨丰智慧城东门1号商铺
榆林,布加尼时尚烘培,159237680,109.7607,38.311,109.7551068,38.3104792,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/159237680/,5,51条评论,人均￥15,榆阳区东沙银沙路加油站对面
榆林,花漾FaryOung,178108760,109.751624,38.284374,109.7460341,38.2838513,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/178108760/,4.7,17条评论,人均￥20,榆阳区新楼下巷夫子庙商业街C区136号
榆林,班尼先生时尚烘焙,157078584,109.765714,38.271736,109.7601264,38.2712136,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/157078584/,4.9,58条评论,人均 -,榆阳区上郡路新家源超市一楼
榆林,快乐时光（金阳小区店）,4156383,109.763986,38.30608,109.7583942,38.3055596,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4156383/,5,177条评论,人均￥50,榆阳区望湖东路金阳小区南门西行50米
榆林,味美琪（航宇路店）,4831632,109.746418,38.262009,109.7408325,38.2614857,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4831632/,4.3,246条评论,人均￥21,榆阳区航宇路交通局北10米路西
榆林,英伦时光,6172044,109.754241,38.281326,109.7486509,38.2808028,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/6172044/,4,402条评论,人均￥25,榆阳区汽车南站东方商厦楼底
榆林,品尚蛋糕,93014099,109.752907,38.26077,109.7473192,38.260245,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/93014099/,3.7,136条评论,人均￥14,榆阳区富康路地税局家属楼一楼
榆林,罗利尔蛋糕店,4398188,109.752174,38.310519,109.7465812,38.309998,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4398188/,4.2,91条评论,人均 -,榆阳区德华北巷与红山东路交叉口东100米路北（东沙党校公交汽车牌对面）
榆林,小丑蛋糕,160731155,109.762527,38.249143,109.7569407,38.2486173,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/160731155/,4.5,337条评论,人均￥30,榆阳区北东环路高新时代广场北50米
榆林,安旗专卖店（肤施路店）,5801335,109.761742,38.273191,109.756153,38.2726676,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5801335/,3.9,2020条评论,人均￥21,榆阳区肤施路65号（榆阳医院南100米）
榆林,柠檬工坊时尚餐厅,42891563,109.72566,38.294965,109.7200919,38.2944599,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/42891563/,4.3,74条评论,人均￥12,榆阳区榆林学院东大门北侧L型楼一层门市
榆林,樱花小筑甜品店,171960637,109.751984,38.285391,109.7463939,38.2848684,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/171960637/,4.6,90条评论,人均￥23,榆阳区新楼下巷夫子庙B区59号
榆林,美琪琳,42270580,109.726427,38.251275,109.7208623,38.2507651,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/42270580/,4.3,78条评论,人均￥30,榆阳区苏榆路邮政储蓄银行向西100米
榆林,米奇蛋糕,41490031,109.756206,38.31081,109.7506126,38.3102888,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/41490031/,4.7,69条评论,人均￥70,榆阳区民生国际向南100米
榆林,爱尚轩蛋糕（崇文东路）,104712442,109.730974,38.293355,109.7253989,38.2928444,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/104712442/,4.7,55条评论,人均 -,榆阳区崇文路华苑南巷2排3号（1314宾馆）
榆林,圆梦轩蛋糕（沙河口店）,5926147,109.753897,38.258852,109.7483093,38.2583267,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5926147/,4.2,158条评论,人均￥18,榆阳区航宇路与富康路十字豪迈KTV向东10米
榆林,幸福西饼（开发区店）,165684785,109.766659,38.238572,109.7610753,38.2380464,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/165684785/,3.9,1条评论,人均 -,榆阳区塞维利亚步行街1号商铺1楼
榆林,NOBIBI北欧冰激凌（万达广场店）,188061919,109.753535,38.246769,109.7479486,38.2462424,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/188061919/,3.5,37条评论,人均￥30,榆阳区长兴路万达广场3楼3077
榆林,DF冰雪精灵,40543706,109.751108,38.282514,109.7455184,38.2819913,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/40543706/,4,787条评论,人均￥20,榆阳区长城南路凯信购物广场一楼西南角
榆林,唯美蛋糕,178871743,109.779795,38.257615,109.7742194,38.2570999,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/178871743/,3.5,5条评论,人均￥10,榆阳区德静路电厂家属院对面
榆林,厦门香溢,5972759,109.743016,38.262925,109.7374325,38.2624033,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5972759/,3.5,24条评论,人均￥26,榆阳区榆溪雅园2期门面房航才路8号（第七幼儿园对面）
榆林,库克山冰淇淋,178122716,109.730415,38.28667,109.7248413,38.2861594,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/178122716/,4,15条评论,人均￥30,榆阳区保宁路榆星广场4楼
榆林,雅斐烘焙,165725665,109.73238,38.2879,109.7268038,38.2873878,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/165725665/,4.2,24条评论,人均￥20,榆阳区保宁东路情缘公寓旁
榆林,麦多多西饼屋,6571744,109.747964,38.308545,109.7423729,38.3080249,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/6571744/,4.7,111条评论,人均￥50,榆阳区红山东路119号（红山路与东岳路交口东20米）
榆林,皇后印象蛋糕店,165577554,109.756591,38.308083,109.7509978,38.3075616,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/165577554/,4,7条评论,人均￥15,榆阳区长虹南路20号
榆林,一品轩（塞维利亚店）,6537143,109.765663,38.23779,109.760079,38.2372639,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/6537143/,4,149条评论,人均￥15,榆阳区技术产业园区北东环路塞维利亚小区9-2号商铺
榆林,蓝月光蛋糕,5653764,109.750285,38.295894,109.7446943,38.2953725,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5653764/,3.6,556条评论,人均￥17,榆阳区转角楼诚信大厦一层
榆林,好麦琪蛋糕（东沙店）,157072884,109.755925,38.305158,109.7503322,38.3046364,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/157072884/,3.5,4条评论,人均￥20,榆阳区红山长虹路1排7号仁和堂旁
榆林,伊蔓来蛋糕店,178674215,109.766286,38.234609,109.7607026,38.2340828,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/178674215/,3,1条评论,人均￥30,榆阳区朝阳路华居中央公园步行街C座108-2（交通银行东行50米）
榆林,HELLO CAKE（柳营路店）,159677593,109.734987,38.282201,109.7294084,38.2816862,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/159677593/,3,7条评论,人均￥28,榆阳区柳营东路89号（实验中学住宅区隔壁）
榆林,蓝月亮冰淇淋蛋糕坊,6781968,109.756866,38.305122,109.7512732,38.3046004,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/6781968/,3.4,39条评论,人均￥30,榆阳区望湖东路与长虹南路交叉口西南50米
榆林,八喜冰激凌蛋糕,41395804,109.762727,38.248076,109.7571409,38.2475502,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/41395804/,4.1,9条评论,人均 -,榆阳区东环路时代广场二楼
榆林,红欣蛋糕（榆林店）,153555400,109.76552,38.292393,109.7599302,38.2918722,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/153555400/,3.2,8条评论,人均 -,榆阳区翠花路北50米
榆林,阿尼斯烘培工坊,160269560,109.738343,38.282643,109.7327611,38.2821258,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/160269560/,4,64条评论,人均￥20,榆阳区常乐路与柳营东路交汇处（盛威商务宾馆楼下）
榆林,雪艳蛋糕,65594876,109.762443,38.299816,109.7568514,38.2992948,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/65594876/,3.7,18条评论,人均￥10,榆阳区东沙桃源路与银沙路交口南门面房（桃源幼儿园隔壁）
榆林,好麦琪蛋糕专卖店,5408589,109.729205,38.288779,109.7236326,38.2882698,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5408589/,4.3,241条评论,人均￥256,榆阳区人民路与文化路十字路口向南50米（容大国际旁）
榆林,IDO爱都蛋糕（上郡路店）,5606831,109.774485,38.256018,109.7689046,38.2554986,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5606831/,3.5,44条评论,人均￥15,榆阳区上郡南路电信小区1号
榆林,SpringCake 椿风十里,181316211,109.770531,38.235686,109.7649498,38.2351618,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/181316211/,4,4条评论,人均 -,榆阳区高新区北东环路朝阳大厦815室
榆林,7·水果秀,170548884,109.751553,38.28454,109.7459631,38.2840174,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/170548884/,3.5,3条评论,人均￥20,榆阳区夫子庙步行街C区1层38号
榆林,凯丝贝恩,4765707,109.718067,38.285114,109.7125121,38.2846173,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4765707/,3,4条评论,人均 -,榆阳区保宁西路与兴榆路交叉口沙城明珠底商
榆林,小麦家蛋糕店,159236970,109.707351,38.295818,109.7018156,38.2953376,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/159236970/,暂无评,0条评论,人均 -,榆阳区前葡萄园天王幼儿园向北50米
榆林,金冠蛋糕店,4246289,109.759786,38.283836,109.7541956,38.2833132,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4246289/,3.8,35条评论,人均 -,榆阳区南大街295号
榆林,米苏DIY烘焙,40421878,109.751105,38.282539,109.7455154,38.2820163,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/40421878/,4.1,11条评论,人均￥87,榆阳区长城南路凯信世纪四楼
榆林,一品轩,161058983,109.769311,38.231535,109.7637295,38.2310097,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/161058983/,4,33条评论,人均 -,榆阳区建业大道高新华府北侧商铺
榆林,奉茶茶恋花（万达广场店）,189574136,109.753542,38.246768,109.7479556,38.2462414,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/189574136/,5,36条评论,人均￥15,榆阳区长兴路万达广场2楼2026
榆林,阿亮甜品,4222272,109.746817,38.276598,109.7412298,38.2760759,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4222272/,4,167条评论,人均￥49,榆阳区榆兴桥（二毛洼）圣都游乐场边上（圣都乐园6号楼）
榆林,蓝精灵蛋糕,52263010,109.72625,38.251203,109.7206856,38.2506933,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/52263010/,3,3条评论,人均￥40,榆阳区210国道313号
榆林,好心情蛋糕店,52378369,109.73661,38.286601,109.7310293,38.2860853,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/52378369/,3.5,22条评论,人均￥56,榆阳区青山路街道常乐路西沙中医院旁边
榆林,爱品蛋糕,41996419,109.777119,38.25203,109.7715413,38.2515121,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/41996419/,3.9,25条评论,人均 -,榆阳区上郡路农贸市场2号
榆林,味多乐精品烘焙,164649430,109.769905,38.3256,109.7643139,38.325083,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/164649430/,3.5,3条评论,人均 -,榆阳区育德路东沙市场一楼7号（18路终点对面，新一中北200米）
榆林,快乐家蛋糕（新楼巷店）,5792933,109.754346,38.286975,109.7487553,38.2864522,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/5792933/,3.7,646条评论,人均￥27,榆阳区新楼巷口（新楼下巷与新建南路交叉处）
榆林,味美轩,2289366,109.75068,38.2941,109.7450893,38.2935783,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/2289366/,3.3,776条评论,人均￥26,榆阳区新建北路59号（巴黎风情婚纱摄影店旁）
榆林,京风蛋糕,4539900,109.72825,38.28322,109.7226795,38.2827113,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4539900/,3.5,9条评论,人均 -,榆阳区青山西路与祯祥巷交汇处
榆林,禾麦手工烘焙,177562784,109.782823,38.258947,109.7772507,38.2584348,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/177562784/,3.5,2条评论,人均￥25,榆阳区德静路德静小区楼底
榆林,野上麦田,188464708,109.755569,38.247736,109.7499822,38.2472094,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/188464708/,3.5,4条评论,人均￥30,榆阳区开发区万达广场3楼商铺3095
榆林,御祥蛋糕烘焙坊,164998152,109.748831,38.262546,109.7432443,38.262022,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/164998152/,4.2,5条评论,人均 -,榆阳区艺苑路榆溪花园小区东门旁
榆林,快乐蛋糕屋,4090523,109.734879,38.291614,109.7292996,38.2911,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/4090523/,3.6,746条评论,人均 -,榆阳区人民西路303号
榆林,奉茶茶恋花（国贸荟店）,192190987,109.751233,38.294667,109.7456421,38.2941452,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/192190987/,暂无评,0条评论,人均 -,榆阳区新建北路国贸荟5楼24号
榆林,味美轩（兴达路店）,41237004,109.743544,38.241099,109.7379624,38.2405746,http://yl.meituan.com/meishi/c11b4323/,http://www.meituan.com/meishi/41237004/,3.4,391条评论,人均￥26,榆阳区榆溪大道与兴达路十字向北160米处
